✔ SS

A1DL 마일3 어빈 토마스 휘리3 죠안나4 구스 아이멜 엘레노아3 섀넌 로디 아이다 아리아 레이첼3 팔만2 루티스 매드람4 루키어스 볼게이드3 = 164,000  ( 1번 )
A1FT 어빈2 게르드2 휘리5 죠안나 구스 엘레노아 스텔라2 뮤즈3 아이다 사라2 아리아2 레이첼2 베리어스2 팔만 루티스 루티스전무 매드람2 미첼2 루키어스2 = 65,000  ( 52번 )
A1GP 마일2 휘리5 죠안나2 구스2 아이멜 엘레노아 섀넌 스텔라 뮤즈2 아이다 아리아 가웨인4 베리어스2 매드람2 미첼3 볼게이드2 루키어스전무 = 64,000  ( 53번 )

A1F4 마일2 어빈 휘리4 죠안나 구스2 엘레노아 섀넌 스텔라 뮤즈2 아이다3 사라 아리아4 가웨인2 레이첼2 베리어스4 팔만2 루티스 미첼 볼게이드2 = 60,000  ( 54번 )

19X 어빈2 어빈전무 토마스 휘리2 구스2 구스전무 아이멜 엘레노아 섀넌 로디3 뮤즈 아이다4 사라3 가웨인 베리어스3 팔만3 매드람 미첼 루키어스 볼게이드4 = 53,000  ( 55번 )

1AX 어빈2 마일 휘리2 죠안나 구스2 아이멜2 섀넌 스텔라 로디2 뮤즈 아이다2 사라2 가웨인 레이첼3 팔만2 루티스 매드람2 루키어스 볼게이드2 = 48,000  ( 56번 )

A1EQ 어빈2 어빈전무 토마스 휘리3 죠안나 구스 엘레노아 섀넌 알토스 스텔라 뮤즈2 사라 가웨인 레이첼5 루티스4 미첼2 볼게이드 = 43,000  ( 57번 )

A1EO 어빈2 휘리4 죠안나3 구스 엘레노아 스텔라2 아이다 아리아2 가웨인5 레이첼 베리어스2 팔만4 루티스3 미첼4 볼게이드 = 40,000  ( 58번 )



✔ A

A1CC 어빈 게르드2 토마스 휘리7 휘리전무 죠안나3 구스6 아이멜2 엘레노아4 뮤즈2 아이다2 사라3 아리아4 아리아전무 가웨인2 레이첼 베리어스3 팔만3 루티스2 미첼3 = 119,000  ( 59번 )

A14S 어빈 게르드2 휘리7 죠안나3 구스6 아이멜2 엘레노아2 섀넌3 스텔라 로디 뮤즈 아이다2 사라2 가웨인2 레이첼3 베리어스3 팔만2 루티스 매드람 루키어스 볼게이드 = 112,000  ( 60번 )

A1FC 어빈 마일 게르드2 토마스 휘리3 죠안나2 구스6 아이멜 엘레노아4 섀넌3 알토스 로디 뮤즈 아리아 가웨인2 레이첼 팔만2 루티스3 루키어스2 볼게이드 = 105,000  ( 61번 )

17R 어빈 마일 토마스2 휘리6 죠안나2 구스2 아이멜3 엘레노아4 섀넌3 뮤즈2 아이다2 사라2 가웨인 레이첼5 팔만3 루티스 미첼 루키어스2 = 104,000  ( 62번 )

A1HV 어빈 어빈전무 게르드2 토마스 토마스전무 휘리5 휘리전무 죠안나2 구스3 구스전무2 아이멜4 엘레노아 섀넌2 로디 뮤즈 아이다2 사라2 아리아3 가웨인 베리어스3 팔만 루티스4 매드람3 미첼4 볼게이드 루키어스전무 = 102,000  ( 63번 )
16V 어빈 토마스2 토마스전무 휘리4 죠안나 구스7 아이멜3 엘레노아2 섀넌3 스텔라 로디 뮤즈 아이다 아리아2 가웨인3 레이첼2 베리어스 팔만 루티스2 루키어스2 루키어스전무 볼게이드2 = 99,000  ( 64번 )

A11A 어빈 어빈전무2 게르드2 휘리3 죠안나 구스6 아이멜3 엘레노아2 섀넌4 아이다 아리아 레이첼 베리어스2 팔만2 루티스 매드람2 볼게이드 사라전무 = 93,000  ( 65번 )

A1IJ 어빈 마일 게르드 토마스2 휘리7 죠안나 구스2 구스전무 아이멜3 엘레노아 섀넌 뮤즈2 아이다 사라 아리아2 가웨인3 레이첼2 베리어스2 팔만2 미첼2 볼게이드3 볼게이드전무 = 93,000  ( 66번 )
A1LK 어빈 게르드 휘리5 휘리전무 죠안나3 구스4 아이멜2 엘레노아4 섀넌3 알토스 아리아 가웨인3 레이첼3 팔만3 매드람3 루키어스 볼게이드 = 90,000  ( 67번 )

16Y 어빈 마일 게르드 휘리7 죠안나2 구스3 아이멜 엘레노아2 섀넌4 로디 뮤즈 사라 가웨인 베리어스 루티스2 매드람 미첼2 루키어스 볼게이드2 = 89,000  ( 68번 )
11C 어빈 마일 게르드 토마스 휘리4 죠안나 구스3 구스전무 아이멜5 엘레노아3 섀넌 뮤즈 아이다 아리아 가웨인 레이첼 베리어스5 팔만 루티스 미첼 루키어스 볼게이드 = 90,000  ( 69번 )
A1M0 어빈 마일 마일전무 게르드 휘리6 죠안나3 구스6 구스전무 아이멜2 섀넌 뮤즈 아이다 아리아 가웨인 레이첼2 베리어스3 팔만2 루티스2 미첼2 루키어스 볼게이드3 = 89,000  ( 70번 )
A1CE 어빈 마일 마일전무 게르드 토마스 휘리4 죠안나2 구스3 아이멜4 엘레노아4 스텔라 뮤즈3 뮤즈전무 아이다 사라2 아리아3 가웨인 레이첼 팔만 매드람 미첼2 = 89,000  ( 71번 )
A1L4 어빈 게르드2 휘리6 휘리전무 죠안나 구스4 아이멜 엘레노아3 섀넌3 로디 아이다 아리아2 가웨인2 베리어스 루티스2 매드람 미첼 루키어스2 볼게이드2 = 88,000  ( 72번 )

A1HG 어빈 게르드 휘리7 휘리전무 구스4 아이멜4 엘레노아2 섀넌2 스텔라 아이다3 사라3 아리아2 가웨인 레이첼 베리어스 팔만3 루티스 미첼 루키어스 볼게이드3 볼게이드전무 = 88,000  ( 73번 )
A1F6 어빈 게르드3 토마스2 휘리4 죠안나4 구스4 섀넌2 알토스3 뮤즈 아이다3 사라 아리아2 가웨인 팔만 루티스 매드람3 미첼 볼게이드 = 99,000  ( 74번 )
A1CI 마일 게르드 게르드전무2 토마스2 휘리3 죠안나4 구스4 아이멜 엘레노아5 로디 뮤즈2 아이다 가웨인 베리어스 팔만3 루티스2 매드람2 미첼2 루키어스2 = 87,000  ( 75번 )

A1IH 어빈 마일 토마스2 휘리3 휘리전무 죠안나 구스7 아이멜2 아이멜전무 섀넌2 뮤즈2 아이다2 사라2 아리아 레이첼 팔만4 팔만전무 루티스 미첼2 루키어스 볼게이드 = 83,000  ( 76번 )
1AJ 마일 마일전무 토마스 휘리7 죠안나2 구스4 엘레노아2 섀넌4 알토스 뮤즈3 사라2 아리아2 가웨인3 레이첼 베리어스 팔만3 루티스 미첼 = 84,000  ( 77번 )

1A3 어빈 마일 토마스2 휘리6 구스4 아이멜2 엘레노아2 섀넌 로디2 뮤즈 아이다2 사라3 아리아2 가웨인2 루티스2 매드람 미첼2 볼게이드2 = 82,000  ( 78번 )
A1CO 마일 게르드 토마스2 휘리5 죠안나2 구스4 아이멜2 엘레노아2 섀넌 로디 뮤즈4 아이다 사라4 아리아 베리어스 팔만 루티스2 미첼3 루키어스 = 84,000  ( 79번 )
A1MK 마일 마일전무 게르드 게르드전무2 휘리3 죠안나4 구스3 아이멜4 엘레노아3 섀넌2 알토스 스텔라2 로디 사라 가웨인 베리어스 루키어스 = 79,000  ( 80번 )
A1I2 마일 마일전무 토마스 휘리5 휘리전무 죠안나2 구스3 구스전무 아이멜2 엘레노아3 섀넌3 알토스 아이다 사라2 아리아2 레이첼 베리어스2 팔만 루티스2 매드람 볼게이드전무 = 80,000  ( 81번 )

A120 어빈 마일 마일전무2 게르드 휘리3 죠안나 구스8 아이멜2 엘레노아2 스텔라 아이다2 사라 아리아 가웨인2 레이첼 베리어스3 팔만4 루티스 매드람 미첼2 루키어스2 볼게이드3 = 81,000  ( 82번 )
A1B2 어빈 토마스2 휘리4 죠안나4 구스3 아이멜4 엘레노아 섀넌2 로디2 뮤즈 사라 가웨인3 베리어스3 팔만 루티스 매드람 미첼2 = 78,000  ( 83번 )
A5YU 어빈 어빈전무 게르드2 휘리2 휘리전무 죠안나 구스6 아이멜2 엘레노아2 섀넌3 알토스 로디 뮤즈3 사라2 아리아 가웨인3 베리어스 팔만2 매드람2 미첼2 = 78,000  ( 84번 )

A1IS 어빈 마일 게르드 게르드전무 휘리5 죠안나4 구스3 엘레노아 섀넌4 로디 뮤즈4 사라2 아리아2 루티스 미첼 루키어스 볼게이드2 = 77,000  ( 85번 )
188 어빈 휘리8 죠안나 구스3 아이멜 엘레노아2 엘레노아전무 섀넌4 로디 아이다2 사라3 가웨인 레이첼4 베리어스 팔만 매드람3 루키어스 볼게이드2 = 77,000  ( 86번 )
A1CF 어빈 게르드2 게르드전무 휘리4 죠안나4 구스4 아이멜3 엘레노아2 로디 뮤즈2 사라2 아리아 가웨인 베리어스 루티스3 매드람 미첼2 루키어스2 볼게이드 = 76,000  ( 87번 )
176 어빈 어빈전무 게르드 휘리3 죠안나 구스4 아이멜4 엘레노아 엘레노아전무 섀넌4 섀넌전무 알토스 로디 아이다2 사라2 아리아5 가웨인2 레이첼4 베리어스5 팔만2 루티스2 볼게이드 = 78,000  ( 88번 )
A1J5 어빈 마일 마일전무 토마스 휘리5 휘리전무3 죠안나 구스 구스전무 아이멜3 엘레노아3 섀넌 아이다2 사라2 아리아8 가웨인 레이첼 베리어스 팔만2 루티스 매드람2 루키어스2 볼게이드2 볼게이드전무 = 77,000  ( 89번 )
1A4 어빈 마일 마일전무 게르드3 휘리5 구스2 엘레노아3 섀넌2 알토스 뮤즈3 아이다2 아리아2 가웨인 레이첼 베리어스 팔만2 매드람 미첼2 루키어스 볼게이드 = 89,000  ( 90번 )
A1KU 마일 토마스2 휘리6 죠안나3 구스2 아이멜2 엘레노아3 섀넌 로디 아이다2 사라 아리아2 가웨인 레이첼2 팔만3 루티스2 볼게이드 = 76,000  ( 91번 )
A1DZ 마일 토마스 휘리6 휘리전무 죠안나2 구스5 아이멜3 엘레노아 엘레노아전무 뮤즈2 아이다2 가웨인4 가웨인전무 레이첼4 베리어스 팔만4 루티스3 매드람2 미첼2 루키어스2 = 77,000  ( 92번 )
A7Z8 마일 게르드 토마스 휘리7 죠안나2 구스4 아이멜2 엘레노아 알토스 뮤즈2 아이다 사라 아리아2 가웨인 레이첼2 베리어스2 팔만 루티스 루키어스2 볼게이드3 = 75,000  ( 93번 )
17I 마일 게르드 토마스 휘리5 죠안나3 구스 아이멜 엘레노아3 섀넌4 로디2 뮤즈 아이다3 사라2 아리아 가웨인2 가웨인전무 팔만 루티스2 매드람3 미첼2 볼게이드2 = 76,000  ( 94번 )

19R 어빈 마일 휘리5 휘리전무 죠안나4 구스3 엘레노아2 섀넌4 스텔라 로디 뮤즈 사라3 아리아 레이첼 베리어스 팔만3 미첼 루키어스3 = 72,000  ( 95번 )
A1FI 어빈 게르드 토마스 휘리7 휘리전무 죠안나5 구스3 엘레노아 스텔라 로디2 뮤즈2 아이다 아리아 가웨인 레이첼 베리어스2 미첼 루키어스2 볼게이드2 볼게이드전무 = 72,000  ( 96번 )
185 마일 휘리7 휘리전무 죠안나3 구스4 엘레노아2 섀넌3 로디4 뮤즈 아이다 사라2 가웨인 레이첼 베리어스 팔만 루티스3 미첼 루키어스4 볼게이드4 = 75,000  ( 97번 )
A1ID 마일 게르드 토마스 휘리7 구스3 아이멜3 엘레노아 섀넌 알토스 뮤즈2 아이다2 아리아2 레이첼 베리어스3 팔만 루티스3 매드람2 미첼 볼게이드3 = 73,000  ( 98번 )

11D 어빈 휘리5 휘리전무2 죠안나3 구스 아이멜4 엘레노아3 섀넌3 알토스 로디 뮤즈3 아이다2 아이다전무 사라 아리아2 가웨인 매드람2 미첼 루키어스 볼게이드 = 72,000  ( 99번 )
1B1 어빈 게르드 게르드전무 토마스 휘리6 구스6 아이멜 엘레노아 알토스2 뮤즈2 아이다 아리아 베리어스3 매드람 미첼2 볼게이드 = 69,000  ( 100번 )
YYY 어빈 게르드2 휘리5 죠안나 구스5 아이멜 엘레노아 섀넌2 로디 사라2 가웨인 레이첼2 팔만3 루티스2 미첼3 볼게이드 = 68,000  ( 101번 )
A1J1 마일 게르드 휘리8 죠안나 구스 아이멜 엘레노아5 섀넌 뮤즈2 아이다2 사라3 아리아 가웨인 레이첼 베리어스2 팔만3 루티스3 매드람 미첼 루키어스4 = 74,000  ( 102번 )
17X 마일 마일전무 토마스 토마스전무 휘리6 죠안나 구스5 아이멜 엘레노아 섀넌2 알토스 뮤즈 아이다 사라 가웨인 레이첼 팔만3 매드람 미첼2 루키어스2 볼게이드2 = 71,000  ( 103번 )
A1GV 마일 토마스2 휘리5 구스4 아이멜3 엘레노아 섀넌2 아이다 아리아2 레이첼 베리어스5 팔만2 루티스2 매드람 루키어스2 = 69,000  ( 104번 )
A1E3 마일 게르드 토마스 휘리5 구스3 아이멜4 엘레노아 섀넌2 알토스 로디2 사라3 아리아3 레이첼 팔만 루티스3 볼게이드2 가웨인전무 = 70,000  ( 105번 )
A1LJ 마일 게르드 휘리8 죠안나2 구스 아이멜2 엘레노아2 섀넌2 알토스 아이다2 사라2 아리아 레이첼 팔만2 루티스2 미첼 루키어스2 볼게이드 = 69,000  ( 106번 )
A1D8 마일 게르드 휘리5 죠안나 구스4 아이멜4 엘레노아 섀넌2 스텔라 로디 뮤즈3 사라2 아리아3 가웨인 레이첼 팔만 루티스2 매드람 미첼 루키어스2 볼게이드 = 71,000  ( 107번 )
A1N4 마일 휘리8 휘리전무 구스3 구스전무 아이멜 엘레노아4 섀넌 알토스 뮤즈2 아이다2 가웨인2 팔만 팔만전무 루티스3 매드람3 미첼 루키어스 = 69,000  ( 108번 )

A1E8 어빈 게르드 게르드전무 휘리5 휘리전무 죠안나2 구스4 아이멜 엘레노아 섀넌3 뮤즈 사라3 아리아 가웨인2 레이첼3 베리어스 팔만2 매드람 미첼 루키어스2 = 68,000  ( 109번 )
18J 어빈 게르드 토마스2 휘리4 죠안나3 구스 아이멜2 엘레노아3 섀넌 로디 아이다2 레이첼2 베리어스2 팔만3 루티스 미첼 루키어스5 볼게이드3 = 67,000  ( 110번 )
A19W 어빈 게르드 게르드전무 휘리4 구스3 아이멜 엘레노아3 섀넌5 뮤즈 아이다 사라3 아리아2 가웨인 베리어스2 루티스 매드람2 루키어스 볼게이드 = 66,000  ( 111번 )
A1CM 어빈 게르드 휘리4 죠안나2 구스3 아이멜 엘레노아5 섀넌2 스텔라 로디 뮤즈 아이다3 아리아 가웨인 레이첼 베리어스 팔만 루티스2 = 65,000  ( 112번 )
A1H0 어빈 마일 휘리7 죠안나 구스4 아이멜2 엘레노아 섀넌 아이다2 아리아4 가웨인4 레이첼2 베리어스 팔만4 루티스 매드람 = 66,000  ( 113번 )
A1HM 어빈 게르드 게르드전무 휘리7 휘리전무 죠안나4 구스3 엘레노아2 알토스 스텔라 뮤즈3 아이다2 사라2 아리아 레이첼3 팔만3 루키어스3 볼게이드2 = 67,000  ( 114번 )
A1GY 마일 토마스 휘리6 죠안나2 구스2 아이멜2 엘레노아3 섀넌2 뮤즈 아이다2 사라 아리아2 가웨인5 레이첼 팔만2 루티스 미첼 루키어스 볼게이드 = 68,000  ( 115번 )
1C7 마일 마일전무 토마스 휘리5 휘리전무 죠안나2 구스4 아이멜3 섀넌2 알토스 로디 뮤즈2 아이다 사라 아리아 가웨인3 레이첼 팔만 매드람 미첼 볼게이드3 = 68,000  ( 116번 )
A1G3 마일 휘리8 죠안나 구스2 아이멜2 엘레노아4 섀넌 로디 뮤즈 아이다 사라3 아리아2 가웨인 레이첼2 베리어스2 팔만2 루티스 미첼2 루키어스2 = 68,000  ( 117번 )

A1DP 어빈 휘리7 휘리전무 죠안나3 구스2 아이멜 엘레노아2 섀넌3 알토스 로디3 뮤즈 아이다3 사라 아리아2 가웨인2 레이첼2 베리어스 팔만2 루티스3 매드람 미첼3 루키어스 볼게이드3 = 69,000  ( 118번 )
